src,dst
2406,203794
2406,351761
2406,65174
2406,140802
2406,590055
2406,1995253
2406,246830
2406,4402111
2406,40258
2406,13066
2406,132809
2406,2275775
2406,143098
2406,373399
2406,4764461
2406,19556
2406,34838010
2406,65405
2406,155464
2406,87595
2406,817953
2406,43282
2406,9508
2406,38172
2406,341141
2406,598864
2406,53990144
2406,10522749
2406,5909
2406,883885
2406,33787421
2406,36236991
2406,511288
2406,12658768
2406,42823962
2406,341694
2406,1339871
2406,24540
2406,3198808
2406,6518597
2406,33551951
2406,534416
2406,1816680
2406,3919319
2406,17268
2406,1610902
2406,1118254
2406,1261255
2406,6888841
2406,65676
2406,2150725
2406,2186110
2406,18214
2406,221567
2406,338088
2406,655020
2406,2059097
2406,173433
2406,2488933
2406,67482
2406,158366
2406,981442
2406,193089
2406,936785
2406,5418449
2406,3399437
2406,1151229
2406,1512230
2406,1995326
2406,868674
2406,1491462
2406,11673523
2406,298396
2406,945128
2406,98764
2406,20797
2406,64437
2406,15928428
2406,161522
2406,25175562
2406,31045316
2406,177304
2406,6738909
2406,18839
2406,95261
2406,1783401
2406,5680788
2406,26011881
2406,3524291
2406,13825869
2406,15658600
2406,18963870
2406,2027283
2406,158400
2406,1120590
2406,19988207
2406,719861
2406,1371330
2406,26768341
2406,67457
2406,3156938
2406,1021030
2406,3845671
2406,9265501
2406,94339
2406,2581696
2406,3403250
2406,1080807
2406,6146116
2406,26009838
2406,27681
2406,64221
2406,149310
2406,199503
2406,20012045
2406,45678
2406,1009807
2406,21113062
2406,378674
2406,161531
2406,234507
2406,216986
2406,78910
2406,87062
2406,35566739
2406,26822
2406,165579
2406,11113869
2406,145255
2406,699883
2406,14290706
2406,391156
2406,25978662
2406,400673
2406,596925
2406,42821450
2406,7160586
2406,141829
2406,841986
2406,14839210
2406,13530398
2406,379066
2406,143223
2406,1069151
2406,4064821
2406,39817962
2406,7157720
2406,185130
2406,14566
2406,8520
2406,17292
2406,605498
2406,3048407
2406,757263
2406,85267
2406,409576
2406,47962
2406,3354
2406,12425
2406,65681
2406,375710
2406,19113936
2406,36001185
2406,25916
2406,255556
2406,1078
2406,146595
2406,863995
2406,589996
2406,995668
2406,6583043
2406,18852926
2406,2138499
2406,23265
2406,202343
2406,14585877
2406,198778
2406,217452
2406,635274
2406,14919
2406,51097
2406,144508
2406,155462
2406,343054
2406,10798255
2406,21983700
2406,618269
2406,6849309
2406,912116
2406,7392938
2406,26621379
2406,5894649
2406,905217
2406,1829920
2406,26964606
2406,1107927
2406,1870121
2406,30220385
2406,4527
2406,33807
2406,8240
2406,68276
2406,3111709
2406,635627
2406,25032982
2406,35680051
2406,51695
2406,563545
2406,5311061
2406,75835
2406,147156
2406,623861
2406,4929183
2406,53604
2406,55866
2406,141841
2406,5133302
2406,29149705
2406,224463
2406,9906294
2406,341837
2406,559224
2406,25344742
2406,51298
2406,32512886
2406,113319
2406,6162671
2406,28907562
2406,54783
2406,647641
2406,407073
2406,974990
2406,5263250
2406,66283
2406,155463
2406,23613
2406,555622
2406,158766
2406,796059
2406,65954
2406,588204
2406,17658337
2406,30391
2406,66592
2406,67025
2406,26857789
