window,name,mape,rmse
0,persistence,268656214.5767344,1036.1366104907027
0,mean,553653681.6078668,462.9172958163681
0,linear regression: history + pagerank + emb,3358545224.2064757,1720.1982268907516
0,linear regression: history + pagerank,3334845018.1781797,1713.6902860868731
0,linear regression: history + emb,3119251792.4693274,1464.8726404580098
0,linear regression: pagerank + emb,3358545224.2064757,1720.1982268907516
0,linear regression: history,3119251792.4693274,1464.8726404580098
0,linear regression: pagerank,3334845018.1781797,1713.6902860868731
0,linear regression: emb,3130227359.932906,1467.7453297282323
0,linear regression: baseline,3119251792.4693274,1464.8726404580098
0,poisson regression emb,51655396.59443978,947.2303708169075
0,poisson regression pagerank + emb,,
0,decision tree: history + pagerank + emb,455355727.64697456,1612.5614537689487
0,decision tree: history + pagerank,425535382.2748883,1781.909480804359
0,decision tree: history + emb,500139040.9249506,1684.6892926171208
0,decision tree: pagerank + emb,438767344.5738201,1569.7655270519904
0,decision tree: history,511606568.0719258,2738.196900382886
0,decision tree: pagerank,415328031.1192789,2734.077865596307
0,decision tree: emb,423960378.17972034,1612.1266538535342
0,decision tree: baseline,509544475.3739519,2611.2632046033455
1,persistence,251048236.49906608,273.8418545673983
1,mean,516169429.09216744,250.2792961329201
1,linear regression: history + pagerank + emb,2224869709.6563234,1139.5244068780694
1,linear regression: history + pagerank,2216180233.008455,1138.4426718384498
1,linear regression: history + emb,2143695096.8928065,1015.5260981381393
1,linear regression: pagerank + emb,2224869709.6563234,1139.5244068780694
1,linear regression: history,2143695096.8928065,1015.5260981381393
1,linear regression: pagerank,2216180233.008455,1138.4426718384498
1,linear regression: emb,2154039621.148338,1015.9655803178432
1,linear regression: baseline,2143695096.8928065,1015.5260981381393
1,poisson regression emb,51105506.226259366,843.4976568073282
1,poisson regression pagerank + emb,100.0,843.8568668506595
1,decision tree: history + pagerank + emb,365540171.14448875,1029.98549745327
1,decision tree: history + pagerank,405778996.71533775,861.3919130073709
1,decision tree: history + emb,497436096.12514955,817.3392160134174
1,decision tree: pagerank + emb,353465475.4785513,586.6592066298404
1,decision tree: history,501210871.2205802,1030.2400672818742
1,decision tree: pagerank,383474037.80532223,969.0403399773649
1,decision tree: emb,339557812.1499759,696.8215115123692
1,decision tree: baseline,501199415.15899694,944.4008043187853
2,persistence,282575329.3682651,163.05071398398596
